MDTU,min_min,min_max,max_min,max_max
728,-5.27805,1.06262,-0.520652,1.45139
730,-5.513,1.08012,-0.36735,1.43949
732,-5.513,1.08012,-0.36735,1.43949
734,-4.18071,1.07471,-0.271327,1.45482
736,-5.12052,1.09564,-0.319704,1.47214
738,-5.12052,1.09564,-0.319704,1.47214
740,-4.50245,1.16572,-0.467052,1.47991
742,-4.51697,1.16849,-0.305876,1.47247
744,-3.86632,1.19927,-0.379958,1.57392
746,-5.24064,1.12621,-0.26264,1.48673
748,-5.24064,1.12621,-0.26264,1.48673
750,-6.70231,1.13147,-0.377474,1.55504
752,-6.70231,1.13147,-0.377474,1.55504
754,-4.50737,1.27081,-0.390001,1.56168
756,-4.75691,1.15886,-0.274022,1.56937
758,-4.75691,1.15886,-0.274022,1.56937
760,-4.01878,1.16166,-0.369211,1.49803
762,-4.95626,1.10256,-0.32879,1.53106
764,-4.25159,1.12541,-0.300423,1.51289
766,-3.66352,1.19767,-0.284914,1.54643
768,-3.94937,1.24475,-0.467109,1.56659
770,-4.94774,1.25787,-0.342366,1.58155
772,-4.90806,1.24244,-0.574061,1.56188
774,-6.60101,1.28315,-0.308352,1.59328
776,-6.60101,1.28315,-0.308352,1.59328
778,-3.84443,1.2466,-0.319338,1.59293
780,-5.25243,1.16837,-0.481499,1.53994
782,-4.14145,1.19296,-0.487472,1.51731
784,-4.01335,1.19901,-0.319553,1.56827
786,-5.40288,1.19522,-0.444981,1.57504
788,-4.24043,1.21528,-0.414094,1.54224
790,-4.01403,1.20609,-0.312937,1.49265
792,-4.97502,1.12819,-0.466097,1.42835
794,-4.99984,1.06426,-0.353739,1.47354
796,-4.99984,1.06426,-0.353739,1.47354
798,-4.28095,1.14375,-0.590575,1.44004
800,-4.27627,1.14431,-0.444265,1.48428
802,-4.19547,1.1781,-0.427783,1.46803
804,-4.55112,1.17473,-0.331764,1.4451
806,-4.10829,1.08025,-0.247573,1.44975
808,-4.11468,1.13553,-0.363307,1.42937
810,-3.85781,1.13592,-0.397513,1.48057
812,-4.25532,1.12757,-0.484217,1.50088
814,-4.37079,1.05836,-0.253749,1.42874
816,-4.14169,1.122,-0.388575,1.46388
818,-4.66319,1.05824,-0.51233,1.43307
820,-5.13432,1.16852,-0.323221,1.47941
822,-3.90865,1.09561,-0.435388,1.47571
824,-4.05685,1.20302,-0.320302,1.54201
826,-4.61167,1.1482,-0.342141,1.45541
828,-3.72833,1.1433,-0.324883,1.4921
830,-5.19433,1.15017,-0.213547,1.46409
832,-4.9858,1.21472,-0.421683,1.52304
834,-4.25624,1.19294,-0.270387,1.48462
836,-3.83752,1.1435,-0.482651,1.4815
838,-4.27085,1.16405,-0.380145,1.53945
840,-3.63635,1.16702,-0.269141,1.47186
842,-5.81322,1.21311,-0.408031,1.55042
844,-4.53891,1.17723,-0.346907,1.49095
846,-4.88321,1.16628,-0.330012,1.54539
848,-5.23389,1.18419,-0.29551,1.5113
850,-5.16672,1.2101,-0.35267,1.49518
852,-6.43346,1.1455,-0.409918,1.49319
854,-4.3227,1.16439,-0.434154,1.51848
856,-4.3227,1.16439,-0.434154,1.51848
858,-3.89896,1.159,-0.300413,1.52945
860,-4.60347,1.16344,-0.300459,1.50284
862,-5.27791,1.13443,-0.532348,1.47614
864,-3.73581,1.19749,-0.435643,1.48776
866,-3.73581,1.19749,-0.435643,1.48776
868,-4.42071,1.21538,-0.369874,1.50663
870,-4.05112,1.25547,-0.439503,1.49514
