MDTU,S_B
1898,0.56583
1900,0.54549
1902,0.54549
1904,0.54549
1906,0.482973
1908,0.482973
1910,0.583644
1912,0.49676
1914,0.521937
1916,0.473816
1918,0.473816
1920,0.560588
1922,0.560588
1924,0.560588
1926,0.560588
1928,0.560588
1930,0.648959
1932,0.648959
1934,0.596194
1936,0.596194
1938,0.541713
1940,0.541713
1942,0.501669
1944,0.564365
1946,0.482475
1948,0.572194
1950,0.49041
1952,0.555034
1954,0.555034
1956,0.653838
1958,0.53454
1960,0.631237
1962,0.616778
1964,0.479427
1966,0.503745
1968,0.470567
1970,0.453788
1972,0.511504
1974,0.469294
1976,0.555097
1978,0.500326
1980,0.496648
1982,0.531865
1984,0.531865
1986,0.509083
1988,0.414121
1990,0.414121
1992,0.526219
1994,0.526219
1996,0.526219
1998,0.613328
2000,0.495301
