t,G,F1,F2,F3
726,0.06985,0,null,null
727,0.0718,0,null,null
728,0.07102,0,null,null
729,0.07126,0,null,null
730,0.07045,0,null,null
731,0.07194,0,null,null
732,0.07185,0,null,null
733,0.07215,0,null,null
734,0.07184,0,null,null
735,0.07101,0,null,null
736,0.07154,0,null,null
737,0.06991,0,null,null
738,0.07071,0,null,null
739,0.07042,0,null,null
740,0.07252,0,null,null
741,0.07168,0,null,null
742,0.07113,0,null,null
743,0.0731,0,null,null
744,0.07305,0,null,null
745,0.07115,0,null,null
746,0.07359,0,null,null
747,0.07382,0,null,null
748,0.07125,0,null,null
749,0.06787,0,null,null
750,0.07143,0,null,null
751,0.0708,0,null,null
752,0.07299,0,null,null
753,0.07323,0,null,null
754,0.07303,0,null,null
755,0.07473,0,null,null
756,0.07332,0,null,null
757,0.07336,0,null,null
758,0.07223,0,null,null
759,0.07397,0,null,null
760,0.07429,0,null,null
761,0.07434,0,null,null
762,0.07548,0,null,null
763,0.07353,0,null,null
764,0.07212,0,null,null
765,0.07121,0,null,null
766,0.07264,0,null,null
767,0.07136,0,null,null
768,0.07373,0,null,null
769,0.07069,0,null,null
770,0.07072,0,null,null
771,0.07249,0,null,null
772,0.07034,0,null,null
773,0.07373,0,null,null
774,0.07365,0,null,null
775,0.07373,0,null,null
776,0.07005,0,null,null
777,0.07265,0,null,null
778,0.07271,0,null,null
779,0.06876,0,null,null
780,0.07119,0,null,null
781,0.07295,0,null,null
782,0.07224,0,null,null
783,0.07195,0,null,null
784,0.0718,0,null,null
785,0.07255,0,null,null
786,0.07435,0,null,null
787,0.06987,0,null,null
788,0.0687,0,null,null
789,0.07127,0,null,null
790,0.07127,0,null,null
791,0.07008,0,null,null
792,0.07186,0,null,null
793,0.06993,0,null,null
794,0.07265,0,null,null
795,0.07352,0,null,null
796,0.07204,0,null,null
797,0.07238,0,null,null
798,0.07239,0,null,null
799,0.07212,0,null,null
800,0.07409,0,null,null
801,0.07263,0,null,null
802,0.07285,0,null,null
803,0.07308,0,null,null
804,0.07232,0,null,null
805,0.07323,0,null,null
806,0.07244,0,null,null
807,0.07055,0,null,null
808,0.07068,0,null,null
809,0.0708,0,null,null
810,0.07164,0,null,null
811,0.07148,0,null,null
812,0.07249,0,null,null
813,0.07006,0,null,null
814,0.06966,0,null,null
815,0.07206,0,null,null
816,0.07252,0,null,null
817,0.07242,0,null,null
818,0.06999,0,null,null
819,0.07269,0,null,null
820,0.07155,0,null,null
821,0.07392,0,null,null
822,0.07423,0,null,null
823,0.07278,0,null,null
824,0.07073,0,null,null
825,0.0703,0,null,null
826,0.07297,0,null,null
827,0.07283,0,null,null
828,0.07089,0,null,null
829,0.06955,0,null,null
830,0.06989,0,null,null
831,0.07164,0,null,null
832,0.07313,0,null,null
833,0.07338,0,null,null
834,0.0711,0,null,null
835,0.07127,0,null,null
836,0.06966,0,null,null
837,0.07107,0,null,null
838,0.069,0,null,null
839,0.06924,0,null,null
840,0.0728,0,null,null
841,0.07021,0,null,null
842,0.07088,0,null,null
843,0.07447,0,null,null
844,0.07318,0,null,null
845,0.07025,0,null,null
846,0.06849,0,null,null
847,0.06871,0,null,null
848,0.07012,0,null,null
849,0.07123,0,null,null
850,0.07394,0,null,null
851,0.0731,0,null,null
852,0.07316,0,null,null
853,0.07221,0,null,null
854,0.072,0,null,null
855,0.07337,0,null,null
856,0.07057,0,null,null
857,0.07278,0,null,null
858,0.07182,0,null,null
859,0.06959,0,null,null
860,0.07366,0,null,null
861,0.07051,0,null,null
862,0.07178,0,null,null
863,0.06898,0,null,null
864,0.07448,0,null,null
865,0.0723,0,null,null
866,0.07399,0,null,null
867,0.07392,0,null,null
868,0.07317,0,null,null
869,0.07061,0,null,null
870,0.07062,0,null,null
871,0.07215,0,null,null
